# TAMU-AERO402 - Airplane
# Test 1620 Run   11
# Theta Sweep - ATLAS_Static - Static Tare True
# XML - ae9f7cd950b182744153b8d704b33336
# Reduction Date - 2016.11.15	07:51
#
#
#   Point      Qact      Uact          Pt          Ps        Baro        Temp         Phi       Theta         Psi       Alpha        Beta       Gamma          CD          CY          CL          Cl          Cm          Cn         CAB         CYB         CNB         ClB         CmB         CnB
#       -     [psf]    [ft/s]       [psf]       [psf]       [psf]       [deg]       [deg]       [deg]       [deg]       [deg]       [deg]       [deg]     [sq.ft]     [sq.ft]     [sq.ft]     [cu.ft]     [cu.ft]     [cu.ft]     [sq.ft]     [sq.ft]     [sq.ft]     [cu.ft]     [cu.ft]     [cu.ft]
        0      1.00      29.7       0.456       0.078    2098.570      79.227       0.000       0.002      -0.000      -0.103       0.004      -0.007       0.028      -0.182      -0.230       0.033       0.046      -0.005       0.028      -0.182      -0.230       0.033       0.046      -0.005
        1      1.00      29.7       0.448       0.072    2098.580      79.263       0.000       0.002      -0.000      -0.101       0.000       0.007       0.054       0.128       0.020       0.056      -0.046      -0.037       0.054       0.128       0.020       0.056      -0.046      -0.038
        2      1.00      29.7       0.470       0.088    2098.560      79.244       0.000      -5.998      -0.000      -6.101       0.005      -0.011       0.018      -0.288      -0.020       0.034      -0.005       0.001       0.016      -0.288      -0.021       0.034      -0.005      -0.003
        3      1.00      29.7       0.463       0.082    2098.530      79.192       0.000      -4.998      -0.000      -5.100       0.003      -0.002      -0.009      -0.128       0.085       0.068      -0.007      -0.008      -0.001      -0.128       0.086       0.067      -0.007      -0.014
        4      1.00      29.7       0.479       0.097    2098.530      79.172       0.000      -3.998      -0.000      -4.102       0.000       0.009       0.051       0.162      -0.142       0.063      -0.013       0.031       0.041       0.162      -0.146       0.065      -0.013       0.026
        5      1.00      29.7       0.480       0.091    2098.530      79.185      -0.003      -2.998      -0.000      -3.099      -0.001       0.010      -0.017       0.247       0.246       0.062      -0.022      -0.026      -0.004       0.247       0.246       0.061      -0.022      -0.030
        6      1.00      29.7       0.469       0.085    2098.520      79.198       0.000      -1.998      -0.000      -2.100       0.003      -0.001      -0.019      -0.081       0.115       0.058       0.030      -0.052      -0.015      -0.081       0.115       0.056       0.030      -0.054
        7      1.00      29.7       0.468       0.090    2098.500      79.243       0.000      -0.998      -0.000      -1.102       0.005      -0.009      -0.019      -0.306      -0.120       0.066       0.022      -0.031      -0.022      -0.306      -0.119       0.066       0.022      -0.033
        8      1.00      29.7       0.475       0.090    2098.510      79.243       0.000       0.002      -0.000      -0.101       0.003      -0.001      -0.006      -0.090      -0.019       0.054      -0.006       0.002      -0.006      -0.090      -0.019       0.054      -0.006       0.002
        9      1.00      29.7       0.474       0.086    2098.510      79.215       0.000       1.002      -0.000       0.898      -0.001       0.012      -0.052       0.246      -0.098       0.050       0.050      -0.005      -0.050       0.246      -0.098       0.050       0.050      -0.004
