# TAMU-AERO402 - Airplane
# Test 1620 Run   12
# Qact Sweep - ATLAS_Vsweep - Static Tare [11]
# XML - f00d14927019a13d255caef970910511
# Reduction Date - 2016.11.15	07:51
#
#
#   Point      Qact      Uact          Pt          Ps        Baro        Temp         Phi       Theta         Psi       Alpha        Beta       Gamma          CD          CY          CL          Cl          Cm          Cn         CAB         CYB         CNB         ClB         CmB         CnB
#       -     [psf]    [ft/s]       [psf]       [psf]       [psf]       [deg]       [deg]       [deg]       [deg]       [deg]       [deg]       [deg]     [sq.ft]     [sq.ft]     [sq.ft]     [cu.ft]     [cu.ft]     [cu.ft]     [sq.ft]     [sq.ft]     [sq.ft]     [cu.ft]     [cu.ft]     [cu.ft]
        0      1.00      29.7       0.476       0.079    2098.190      79.529       0.000       0.002      -0.000      -0.100       0.003      -0.002       0.060      -0.105       0.151       0.060      -0.012      -0.062       0.060      -0.105       0.151       0.060      -0.012      -0.062
        1      1.00      29.7       0.480       0.068    2098.190      79.510      -0.003       0.002      -0.000      -0.102       0.003      -0.004       0.000      -0.080      -0.095       0.041      -0.011      -0.079       0.000      -0.080      -0.095       0.040      -0.011      -0.079
        2      0.55      22.1       1.118       0.163    2098.040      88.415       0.000       0.002      -0.000      -0.097       0.003      -0.007       0.438      -0.183       1.066      -0.032      -0.601       0.044       0.440      -0.183       1.065      -0.032      -0.601       0.044
        3      0.96      29.2       1.580       0.191    2097.970      84.907       0.003       0.002      -0.000      -0.093       0.002      -0.012       0.402       0.005       1.262      -0.201      -0.615       0.022       0.404       0.005       1.261      -0.201      -0.615       0.022
        4      1.53      36.8       2.206       0.219    2097.950      82.150       0.000       0.002      -0.000      -0.090       0.004      -0.032       0.348      -0.111       1.154      -0.222      -0.586       0.021       0.350      -0.111       1.154      -0.222      -0.586       0.021
        5      2.20      44.1       2.895       0.214    2097.850      81.864       0.000       0.002      -0.000      -0.083       0.001      -0.039       0.359       0.024       1.278      -0.257      -0.577      -0.019       0.361       0.024       1.278      -0.257      -0.577      -0.019
        6      3.00      51.6       3.736       0.223    2097.890      82.349      -0.003       0.002      -0.000      -0.077       0.002      -0.064       0.366       0.006       1.223      -0.287      -0.592      -0.005       0.368       0.006       1.222      -0.287      -0.592      -0.005
        7      3.89      58.8       4.691       0.247    2097.900      82.762       0.000       0.002      -0.000      -0.069       0.007      -0.072       0.353      -0.125       1.265      -0.186      -0.582       0.031       0.355      -0.125       1.264      -0.186      -0.582       0.031
        8      4.95      66.3       5.784       0.246    2097.850      82.574       0.000       0.002      -0.000      -0.063       0.007      -0.111       0.349      -0.103       1.166      -0.257      -0.564       0.023       0.350      -0.103       1.165      -0.257      -0.564       0.023
        9      6.06      73.3       6.984       0.294    2097.850      82.407       0.003       0.002      -0.000      -0.056       0.004      -0.111       0.352      -0.034       1.125      -0.244      -0.551       0.025       0.353      -0.034       1.125      -0.244      -0.551       0.025
       10      7.35      80.7       8.325       0.288    2097.850      82.669       0.003       0.002      -0.000      -0.046       0.004      -0.088       0.350      -0.028       1.144      -0.155      -0.566       0.027       0.351      -0.028       1.143      -0.155      -0.566       0.027
       11      8.76      88.1       9.800       0.310    2097.850      82.650       0.000       0.002      -0.000      -0.039       0.007      -0.138       0.352      -0.055       1.076      -0.192      -0.540       0.036       0.352      -0.055       1.075      -0.191      -0.540       0.036
       12      1.00      29.8       0.536       0.123    2097.840      81.572       0.000       0.002      -0.000      -0.102       0.003      -0.002       0.086      -0.106      -0.143       0.049      -0.021      -0.047       0.086      -0.106      -0.143       0.048      -0.021      -0.047
       13      1.00      29.8       0.534       0.107    2097.840      81.250       0.000       0.002      -0.000      -0.103       0.005      -0.011       0.045      -0.306      -0.288       0.044       0.030      -0.053       0.045      -0.306      -0.288       0.044       0.030      -0.054
