# TAMU-AERO402 - Airplane
# Test 1620 Run   13
# Theta Sweep - ATLAS_AlphaSweep - Static Tare [11]
# XML - e8814f562e46d5b8ccd2c18a50731227
# Reduction Date - 2016.11.15	07:51
#
#
#   Point      Qact      Uact          Pt          Ps        Baro        Temp         Phi       Theta         Psi       Alpha        Beta       Gamma          CD          CY          CL          Cl          Cm          Cn         CAB         CYB         CNB         ClB         CmB         CnB
#       -     [psf]    [ft/s]       [psf]       [psf]       [psf]       [deg]       [deg]       [deg]       [deg]       [deg]       [deg]       [deg]     [sq.ft]     [sq.ft]     [sq.ft]     [cu.ft]     [cu.ft]     [cu.ft]     [sq.ft]     [sq.ft]     [sq.ft]     [cu.ft]     [cu.ft]     [cu.ft]
        0      1.00      29.7       0.496       0.085    2097.710      80.711       0.000       0.002      -0.000      -0.101       0.002       0.002       0.087      -0.024       0.052       0.067      -0.064      -0.044       0.087      -0.024       0.052       0.067      -0.064      -0.044
        1      8.75      88.2       9.804       0.315    2097.600      83.086       0.003       0.002      -0.000      -0.038       0.002      -0.133       0.351       0.000       1.094      -0.217      -0.544       0.030       0.352       0.000       1.094      -0.217      -0.544       0.030
        2      8.69      87.8       9.813       0.425    2097.600      82.988      -0.003      -5.998      -0.000      -6.164       0.002      -0.130       0.388      -0.004      -1.086      -0.205      -0.074      -0.001       0.269      -0.004      -1.121      -0.203      -0.074       0.021
        3      8.70      87.9       9.798       0.392    2097.590      83.152       0.003      -4.998      -0.000      -5.144       0.002      -0.076       0.371      -0.004      -0.734      -0.124      -0.157       0.006       0.304      -0.004      -0.764      -0.123      -0.157       0.017
        4      8.71      87.9       9.830       0.389    2097.590      82.920       0.000      -3.998      -0.000      -4.127       0.003      -0.096       0.358      -0.014      -0.441      -0.147      -0.220       0.005       0.325      -0.014      -0.465      -0.147      -0.220       0.015
        5      8.72      88.0       9.824       0.365    2097.590      82.951       0.003      -2.998      -0.000      -3.106       0.005      -0.140       0.344      -0.038      -0.076      -0.210      -0.304       0.014       0.339      -0.038      -0.094      -0.209      -0.304       0.026
        6      8.74      88.1       9.819       0.346    2097.590      82.910      -0.003      -1.998      -0.000      -2.082       0.006      -0.155       0.333      -0.044       0.338      -0.221      -0.390       0.022       0.345      -0.044       0.326      -0.220      -0.390       0.030
        7      8.75      88.1       9.833       0.345    2097.570      82.822      -0.003      -0.998      -0.000      -1.060       0.002      -0.136       0.348      -0.001       0.726      -0.214      -0.469       0.004       0.361      -0.001       0.719      -0.214      -0.469       0.008
        8      8.77      88.2       9.840       0.314    2097.590      82.894       0.000       0.002      -0.000      -0.038       0.005      -0.165       0.352      -0.034       1.094      -0.246      -0.539       0.020       0.353      -0.034       1.094      -0.246      -0.539       0.020
        9      8.73      88.1       9.758       0.296    2097.550      82.915       0.000       1.002      -0.000       0.989       0.005      -0.160       0.362      -0.030       1.565      -0.240      -0.638       0.034       0.334      -0.030       1.571      -0.240      -0.638       0.030
