# TAMU-AERO402 - Airplane
# Test 1620 Run   14
# Theta Sweep - ATLAS_AlphaSweep_negHalfElev - Static Tare [11]
# XML - be85cad183ff8afa2334478f0fc43575
# Reduction Date - 2016.11.15	07:51
#
#
#   Point      Qact      Uact          Pt          Ps        Baro        Temp         Phi       Theta         Psi       Alpha        Beta       Gamma          CD          CY          CL          Cl          Cm          Cn         CAB         CYB         CNB         ClB         CmB         CnB
#       -     [psf]    [ft/s]       [psf]       [psf]       [psf]       [deg]       [deg]       [deg]       [deg]       [deg]       [deg]       [deg]     [sq.ft]     [sq.ft]     [sq.ft]     [cu.ft]     [cu.ft]     [cu.ft]     [sq.ft]     [sq.ft]     [sq.ft]     [cu.ft]     [cu.ft]     [cu.ft]
        0      1.00      29.7       0.494       0.089    2097.240      80.205       0.000       0.002      -0.000      -0.102       0.006      -0.016       0.005      -0.434      -0.166       0.043       0.002      -0.037       0.005      -0.434      -0.166       0.043       0.002      -0.037
        1      8.68      87.8       9.723       0.317    2097.360      83.448       0.000       0.002      -0.000      -0.031       0.006      -0.191       0.367      -0.044       1.235      -0.286      -1.001       0.040       0.368      -0.044       1.234      -0.286      -1.001       0.040
        2      8.70      87.9       9.827       0.412    2097.330      83.476      -0.003      -5.998      -0.000      -6.158       0.001      -0.209       0.405       0.009      -0.964      -0.343      -0.524       0.012       0.299       0.009      -1.002      -0.340      -0.524       0.048
        3      8.75      88.2       9.852       0.383    2097.320      83.644       0.003      -3.998      -0.000      -4.119      -0.002      -0.218       0.368       0.039      -0.288      -0.381      -0.680       0.038       0.347       0.039      -0.314      -0.377      -0.680       0.065
        4      8.73      88.1       9.802       0.362    2097.310      83.497       0.000      -1.998      -0.000      -2.076       0.004      -0.286       0.353      -0.028       0.446      -0.449      -0.839       0.038       0.369      -0.028       0.433      -0.447      -0.839       0.054
        5      8.75      88.2       9.825       0.339    2097.310      83.408       0.000       0.002      -0.000      -0.032       0.005      -0.232       0.364      -0.033       1.210      -0.357      -1.001       0.037       0.365      -0.033       1.210      -0.356      -1.001       0.037
        6      8.73      88.1       9.773       0.294    2097.310      83.351       0.003       2.002      -0.000       2.016       0.006      -0.249       0.396      -0.045       2.029      -0.380      -1.157       0.051       0.324      -0.045       2.042      -0.382      -1.157       0.038
        7      8.76      88.2       9.780       0.277    2097.310      83.232       0.003       4.002      -0.000       4.056       0.008      -0.263       0.443      -0.063       2.696      -0.388      -1.300       0.072       0.251      -0.063       2.721      -0.392      -1.300       0.044
        8      8.74      88.2       9.755       0.261    2097.280      83.340       0.000       6.002      -0.000       6.100       0.010      -0.279       0.500      -0.093       3.457      -0.393      -1.432       0.086       0.129      -0.093       3.491      -0.399      -1.432       0.044
        9      8.70      88.0       9.691       0.219    2097.270      83.488       0.000       8.002      -0.000       8.139       0.011      -0.314       0.573      -0.101       4.139      -0.444      -1.565       0.096      -0.019      -0.101       4.178      -0.453      -1.565       0.032
       10      8.70      88.0       9.662       0.182    2097.260      83.666       0.000      10.002      -0.000      10.168       0.014      -0.292       0.661      -0.129       4.641      -0.389      -1.677       0.110      -0.169      -0.130       4.685      -0.402      -1.677       0.040
       11      8.69      87.9       9.601       0.141    2097.260      83.735       0.000      12.002      -0.000      12.190       0.010      -0.272       0.767      -0.093       5.014      -0.374      -1.794       0.118      -0.309      -0.093       5.063      -0.390      -1.794       0.036
       12      8.73      88.1       9.618       0.127    2097.230      83.443       0.000      14.002      -0.000      14.204       0.008      -0.182       0.944      -0.069       5.197      -0.227      -1.911       0.141      -0.360      -0.069       5.269      -0.254      -1.911       0.081
       13      8.73      88.1       9.781       0.338    2097.190      83.669       0.000       0.002      -0.000      -0.037       0.008      -0.240       0.371      -0.065       1.121      -0.352      -0.948       0.040       0.372      -0.065       1.121      -0.352      -0.948       0.040
       14      1.00      29.8       0.575       0.137    2097.180      82.663       0.000       0.002      -0.000      -0.102       0.007      -0.016       0.103      -0.477      -0.108       0.062      -0.010      -0.067       0.103      -0.477      -0.108       0.062      -0.010      -0.067
