# TAMU-AERO402 - Airplane
# Test 1620 Run   15
# Psi Sweep - ATLAS_BetaSweep - Static Tare [11]
# XML - 382eabe0d60dd8bbd04455fc7184ef87
# Reduction Date - 2016.11.15	07:52
#
#
#   Point      Qact      Uact          Pt          Ps        Baro        Temp         Phi       Theta         Psi       Alpha        Beta       Gamma          CD          CY          CL          Cl          Cm          Cn         CAB         CYB         CNB         ClB         CmB         CnB
#       -     [psf]    [ft/s]       [psf]       [psf]       [psf]       [deg]       [deg]       [deg]       [deg]       [deg]       [deg]       [deg]     [sq.ft]     [sq.ft]     [sq.ft]     [cu.ft]     [cu.ft]     [cu.ft]     [sq.ft]     [sq.ft]     [sq.ft]     [cu.ft]     [cu.ft]     [cu.ft]
        0      1.00      29.8       0.495       0.094    2097.150      81.482       0.000       0.002      -0.000      -0.101      -0.000       0.009       0.064       0.173       0.071       0.057      -0.018      -0.053       0.064       0.173       0.071       0.057      -0.018      -0.054
        1      8.72      88.1       9.771       0.337    2097.140      84.178      -0.003       0.002      -0.000      -0.038       0.006      -0.174       0.348      -0.046       1.094      -0.252      -0.534       0.018       0.348      -0.046       1.094      -0.252      -0.535       0.018
        2      8.69      88.0       9.725       0.307    2097.170      84.169       0.000       0.002      -4.000      -0.037       4.032      -0.361       0.372      -0.297       1.124      -0.445      -0.518       0.163       0.351      -0.322       1.124      -0.408      -0.548       0.163
        3      8.70      88.0       9.727       0.305    2097.170      84.030       0.000       0.002      -3.000      -0.036       3.022      -0.304       0.369      -0.196       1.142      -0.402      -0.533       0.138       0.358      -0.216       1.141      -0.373      -0.554       0.139
        4      8.69      87.9       9.726       0.308    2097.170      84.053       0.000       0.002      -2.000      -0.035       2.019      -0.260       0.365      -0.178       1.157      -0.335      -0.540       0.096       0.359      -0.191       1.157      -0.316      -0.551       0.096
        5      8.71      88.1       9.772       0.342    2097.160      84.187       0.000       0.002      -1.000      -0.036       1.013      -0.210       0.355      -0.110       1.138      -0.285      -0.552       0.062       0.354      -0.117       1.138      -0.275      -0.557       0.062
        6      8.72      88.1       9.784       0.342    2097.170      84.227       0.000       0.002      -0.000      -0.042       0.008      -0.149       0.351      -0.068       1.038      -0.202      -0.535       0.030       0.352      -0.068       1.038      -0.202      -0.535       0.030
        7      8.72      88.1       9.791       0.357    2097.170      84.090       0.000       0.002       1.000      -0.039      -1.001      -0.090       0.357       0.029       1.091      -0.154      -0.560      -0.003       0.357       0.035       1.091      -0.164      -0.558      -0.003
        8      8.72      88.1       9.794       0.350    2097.140      84.022       0.000       0.002       2.000      -0.041      -2.007      -0.085       0.354       0.077       1.046      -0.167      -0.556      -0.049       0.351       0.090       1.046      -0.186      -0.549      -0.049
        9      8.71      88.1       9.791       0.359    2097.170      84.334       0.000       0.002       3.000      -0.038      -3.015       0.019       0.361       0.166       1.102      -0.041      -0.567      -0.089       0.353       0.184       1.102      -0.071      -0.565      -0.089
       10      8.71      88.0       9.785       0.361    2097.170      84.231      -0.003       0.002       4.000      -0.041      -4.021       0.031       0.373       0.225       1.047      -0.046      -0.539      -0.117       0.357       0.251       1.047      -0.083      -0.535      -0.117
       11      8.70      88.0       9.768       0.375    2097.160      84.277       0.003       0.002       5.000      -0.039      -5.019       0.056       0.369       0.192       1.091       0.013      -0.546      -0.143       0.351       0.223       1.091      -0.035      -0.545      -0.143
       12      8.68      87.9       9.777       0.391    2097.140      84.215       0.000       0.002       6.000      -0.042      -6.032       0.094       0.388       0.332       1.041       0.003      -0.529      -0.203       0.352       0.371       1.041      -0.052      -0.526      -0.203
       13      8.68      87.9       9.753       0.376    2097.130      84.276       0.000       0.002       7.000      -0.040      -7.037       0.144       0.400       0.371       1.067       0.068      -0.527      -0.221       0.353       0.417       1.067       0.003      -0.532      -0.221
       14      8.71      88.1       9.806       0.380    2097.120      84.134       0.003       0.002       8.000      -0.041      -8.044       0.186       0.409       0.442       1.059       0.098      -0.531      -0.272       0.343       0.495       1.059       0.023      -0.539      -0.272
       15      8.70      88.0       9.778       0.380    2097.110      84.134       0.000       0.002       9.000      -0.041      -9.048       0.235       0.417       0.476       1.055       0.170      -0.519      -0.308       0.338       0.535       1.055       0.086      -0.539      -0.308
       16      8.69      88.0       9.814       0.417    2097.090      84.211      -0.003       0.002      10.000      -0.039     -10.053       0.285       0.434       0.523       1.085       0.233      -0.506      -0.349       0.337       0.591       1.085       0.140      -0.539      -0.349
       17      8.69      88.0       9.755       0.349    2097.080      84.284       0.000       0.002      -0.000      -0.038      -0.001      -0.117       0.357       0.027       1.101      -0.203      -0.553       0.014       0.357       0.027       1.100      -0.203      -0.553       0.015
       18      1.00      29.8       0.549       0.131    2097.090      83.363       0.000       0.002      -0.000      -0.102       0.004      -0.004       0.073      -0.167      -0.102       0.060      -0.002      -0.062       0.073      -0.167      -0.102       0.060      -0.002      -0.062
