# TAMU-AERO402 - Airplane
# Test 1620 Run   20
# Theta Sweep - ATLAS_Static_prop - Static Tare True
# XML - 70933787f3c2a80ddddea2b2c36b6bfc
# Reduction Date - 2016.11.15	07:52
#
#
#   Point      Qact      Uact          Pt          Ps        Baro        Temp         Phi       Theta         Psi       Alpha        Beta       Gamma          CD          CY          CL          Cl          Cm          Cn         CAB         CYB         CNB         ClB         CmB         CnB
#       -     [psf]    [ft/s]       [psf]       [psf]       [psf]       [deg]       [deg]       [deg]       [deg]       [deg]       [deg]       [deg]     [sq.ft]     [sq.ft]     [sq.ft]     [cu.ft]     [cu.ft]     [cu.ft]     [sq.ft]     [sq.ft]     [sq.ft]     [cu.ft]     [cu.ft]     [cu.ft]
        0      1.00      29.8       0.491       0.119    2096.380      83.332       0.003       0.002      -0.000      -0.101      -0.004       0.028       0.044       0.328       0.198       0.125      -0.032       0.003       0.044       0.328       0.198       0.125      -0.032       0.003
        1      1.00      29.8       0.500       0.128    2096.390      83.369      -0.003       0.002      -0.000      -0.103       0.003      -0.007       0.030      -0.369      -0.032       0.087       0.024      -0.018       0.030      -0.369      -0.032       0.087       0.024      -0.018
        2      1.00      29.8       0.493       0.111    2096.390      83.450      -0.003      -5.998      -0.000      -6.103       0.000       0.004       0.055      -0.091      -0.163       0.096       0.023      -0.018       0.037      -0.091      -0.168       0.093       0.023      -0.028
        3      1.00      29.8       0.507       0.126    2096.390      83.465       0.000      -4.998      -0.000      -5.103      -0.002       0.015       0.037       0.114      -0.169       0.104      -0.050      -0.023       0.022       0.114      -0.172       0.101      -0.050      -0.032
        4      1.00      29.8       0.490       0.110    2096.390      83.453       0.000      -3.998      -0.000      -4.101      -0.001       0.015      -0.029       0.075       0.149       0.121      -0.039      -0.058      -0.018       0.075       0.150       0.116      -0.039      -0.067
        5      1.00      29.8       0.495       0.113    2096.400      83.412       0.003      -2.998      -0.000      -3.101      -0.000       0.013      -0.004      -0.019       0.205       0.105       0.003      -0.023       0.007      -0.019       0.205       0.104       0.003      -0.029
        6      1.00      29.8       0.505       0.122    2096.400      83.390      -0.003      -1.998      -0.000      -2.102      -0.000       0.008      -0.012      -0.034       0.098       0.122       0.044      -0.020      -0.009      -0.034       0.098       0.121       0.044      -0.024
        7      1.00      29.8       0.483       0.101    2096.390      83.411      -0.003      -0.998      -0.000      -1.103       0.000       0.006      -0.013      -0.065      -0.016       0.106      -0.006      -0.031      -0.013      -0.065      -0.016       0.105      -0.006      -0.033
        8      1.00      29.8       0.495       0.109    2096.400      83.421       0.000       0.002      -0.000      -0.103      -0.002       0.018       0.004       0.156      -0.080       0.108      -0.005      -0.050       0.003       0.156      -0.080       0.108      -0.005      -0.050
        9      1.00      29.8       0.489       0.115    2096.430      83.447       0.000       1.002      -0.000       0.898       0.003      -0.002      -0.023      -0.321       0.002       0.095       0.018      -0.067      -0.023      -0.321       0.002       0.096       0.018      -0.065
       10      1.00      29.8       0.490       0.111    2096.440      83.494       0.000       2.002      -0.000       1.899      -0.002       0.016      -0.008       0.104       0.229       0.108      -0.026      -0.037      -0.015       0.104       0.228       0.109      -0.026      -0.034
       11      1.00      29.8       0.508       0.120    2096.410      83.511       0.000       3.002      -0.000       2.896       0.002       0.002      -0.054      -0.215      -0.165       0.090       0.025      -0.030      -0.045      -0.215      -0.168       0.092       0.025      -0.025
       12      1.00      29.8       0.494       0.117    2096.430      83.542       0.000       4.002      -0.000       3.897       0.001       0.004      -0.047      -0.187      -0.084       0.099       0.046      -0.066      -0.041      -0.187      -0.087       0.103       0.046      -0.059
       13      1.00      29.8       0.498       0.109    2096.430      83.551      -0.003       5.002      -0.000       4.898      -0.003       0.019      -0.008       0.268       0.089       0.100      -0.021      -0.053      -0.016       0.268       0.088       0.104      -0.021      -0.045
       14      1.00      29.8       0.505       0.124    2096.430      83.575       0.000       6.002      -0.000       5.898       0.002       0.001       0.012      -0.267      -0.042       0.113      -0.008       0.003       0.016      -0.267      -0.040       0.112      -0.008       0.014
       15      1.00      29.8       0.519       0.131    2096.430      83.572       0.003       7.002      -0.000       6.898      -0.001       0.013      -0.012       0.001      -0.041       0.091      -0.031      -0.060      -0.007       0.001      -0.043       0.097      -0.031      -0.049
       16      1.00      29.8       0.498       0.117    2096.450      83.587      -0.003       8.002      -0.000       7.899      -0.001       0.011       0.030       0.043       0.039       0.110      -0.061      -0.060       0.024       0.043       0.042       0.118      -0.061      -0.045
       17      1.00      29.8       0.506       0.132    2096.460      83.588       0.000       9.002      -0.000       8.899      -0.002       0.016       0.014       0.099       0.062       0.110      -0.039      -0.061       0.004       0.099       0.064       0.118      -0.039      -0.043
       18      1.00      29.8       0.503       0.129    2096.430      83.565       0.000      10.002      -0.000       9.900      -0.004       0.024       0.046       0.316       0.131       0.105      -0.030      -0.037       0.022       0.316       0.137       0.110      -0.030      -0.019
       19      1.00      29.8       0.513       0.125    2096.460      83.562       0.000      11.002      -0.000      10.899      -0.001       0.014       0.024       0.075      -0.009       0.085       0.017      -0.065       0.025       0.075      -0.004       0.096       0.017      -0.048
       20      1.00      29.8       0.493       0.111    2096.470      83.530       0.000      12.002      -0.000      11.899      -0.003       0.023      -0.043       0.252      -0.101       0.116      -0.005      -0.063      -0.021       0.252      -0.108       0.126      -0.005      -0.038
       21      1.00      29.8       0.508       0.125    2096.470      83.489      -0.003      13.002      -0.000      12.899       0.001       0.002      -0.075      -0.157      -0.214       0.101       0.069      -0.030      -0.025      -0.157      -0.226       0.106       0.069      -0.007
       22      1.00      29.8       0.493       0.115    2096.490      83.470       0.000      14.002      -0.000      13.900      -0.002       0.015      -0.007       0.110      -0.029       0.079       0.013      -0.061       0.000       0.110      -0.029       0.092       0.013      -0.040
       23      1.00      29.8       0.505       0.119    2096.480      83.443      -0.003      15.002      -0.000      14.901      -0.004       0.023       0.028       0.314       0.015       0.117      -0.021      -0.056       0.023       0.314       0.021       0.127      -0.021      -0.024
       24      1.00      29.8       0.499       0.119    2096.500      83.423       0.000      16.002      -0.000      15.903      -0.002       0.017       0.075       0.110       0.231       0.105       0.015      -0.090       0.009       0.110       0.243       0.126       0.015      -0.058
       25      1.00      29.8       0.498       0.112    2096.520      83.307       0.003       0.002      -0.000      -0.103       0.003      -0.002       0.013      -0.354      -0.105       0.077       0.044      -0.020       0.012      -0.354      -0.105       0.077       0.044      -0.021
       26      1.00      29.8       0.494       0.113    2096.530      83.258       0.000       0.002      -0.000      -0.103       0.002      -0.001       0.018      -0.278      -0.027       0.085       0.017      -0.031       0.018      -0.278      -0.027       0.085       0.017      -0.031
